07:10:01.819 :: ##### 프로그램 재시작 #####
09:05:21.895 :: False 5
09:05:22.988 :: False 5
09:05:24.111 :: False 5
09:05:25.234 :: False 5
09:05:26.342 :: False 5
09:05:27.465 :: False 5
09:05:28.541 :: False 5
09:05:29.633 :: False 5
09:05:30.803 :: False 5
09:05:31.867 :: False 5
09:05:32.991 :: False 5
09:05:34.083 :: False 5
09:05:35.190 :: False 5
09:05:36.275 :: False 5
09:05:37.414 :: False 5
09:05:38.490 :: False 5
09:05:39.676 :: False 5
09:05:40.768 :: False 5
09:05:41.863 :: False 5
09:05:42.986 :: False 5
09:05:44.109 :: False 5
09:05:45.155 :: False 5
09:05:46.278 :: False 5
09:05:47.370 :: False 5
09:05:48.524 :: False 5
09:05:49.585 :: False 5
09:05:50.739 :: False 5
09:05:51.847 :: False 5
09:05:52.908 :: False 5
09:05:54.015 :: False 5
09:05:55.123 :: False 5
09:05:56.232 :: False 5
09:05:57.339 :: False 5
09:05:58.447 :: False 5
09:05:59.617 :: False 5
09:06:00.724 :: False 5
09:06:01.832 :: False 5
09:06:02.893 :: False 5
09:06:04.016 :: False 5
09:06:05.139 :: False 5
09:06:06.200 :: False 5
09:06:07.354 :: False 5
09:06:08.415 :: False 5
09:06:09.585 :: False 5
09:06:10.630 :: False 5
09:06:11.769 :: False 5
09:06:12.877 :: False 5
09:06:14.520 :: False 5
09:06:15.050 :: False 5
09:06:16.237 :: False 5
09:06:17.282 :: False 5
09:06:18.390 :: False 5
09:06:19.530 :: False 5
09:06:20.579 :: False 5
09:06:21.751 :: False 5
09:06:22.861 :: False 5
09:06:23.937 :: False 5
09:06:25.032 :: False 5
09:06:26.194 :: False 5
09:06:27.269 :: False 5
09:06:28.355 :: False 5
09:06:29.475 :: False 5
09:06:30.564 :: False 5
09:06:31.711 :: False 5
09:06:32.796 :: False 5
09:06:33.886 :: False 5
09:06:35.051 :: False 5
09:06:36.136 :: False 5
09:06:37.281 :: False 5
09:06:38.376 :: False 5
09:06:39.455 :: False 5
09:06:40.600 :: False 5
09:06:41.717 :: False 5
09:06:42.807 :: False 5
09:06:43.892 :: False 5
09:06:44.987 :: False 5
09:06:46.132 :: False 5
09:06:47.192 :: False 5
09:06:48.337 :: False 5
09:06:49.412 :: False 5
09:06:50.522 :: False 5
09:06:51.817 :: False 5
09:06:52.762 :: False 5
09:06:53.892 :: False 5
09:06:55.057 :: False 5
09:06:56.087 :: False 5
09:06:57.162 :: False 5
09:06:58.269 :: False 5
09:06:59.419 :: False 5
09:07:00.469 :: False 5
09:07:01.634 :: False 5
09:07:02.719 :: False 5
09:07:03.819 :: False 5
09:07:04.884 :: False 5
09:07:06.084 :: False 5
09:07:07.129 :: False 5
09:07:08.229 :: False 5
09:07:09.334 :: False 5
09:07:10.429 :: False 5
09:07:11.594 :: False 5
09:07:12.719 :: False 5
09:07:13.814 :: False 5
09:07:14.887 :: False 5
09:07:15.972 :: False 5
09:07:17.127 :: False 5
09:07:18.212 :: False 5
09:07:19.314 :: False 5
09:07:20.396 :: False 5
09:07:21.541 :: False 5
09:07:22.656 :: False 5
09:07:23.781 :: False 5
09:07:24.841 :: False 5
09:07:25.994 :: False 5
09:07:27.119 :: False 5
09:07:28.154 :: False 5
09:07:29.304 :: False 5
09:07:30.383 :: False 5
09:07:31.488 :: False 5
09:07:32.613 :: False 5
09:07:33.708 :: False 5
09:07:34.809 :: False 5
09:07:35.939 :: False 5
09:07:37.074 :: False 5
09:07:38.189 :: False 5
09:07:39.219 :: False 5
09:07:40.394 :: False 5
09:07:41.461 :: False 5
09:07:42.609 :: False 5
09:07:43.694 :: False 5
09:07:44.809 :: False 5
09:07:45.889 :: False 5
09:07:47.034 :: False 5
09:07:48.161 :: False 5
09:07:49.271 :: False 5
09:07:50.351 :: False 5
09:07:51.446 :: False 5
09:07:52.606 :: False 5
09:07:53.676 :: False 5
09:07:54.776 :: False 5
09:07:55.906 :: False 5
09:07:57.011 :: False 5
09:07:58.071 :: False 5
09:07:59.206 :: False 5
09:08:00.323 :: False 5
09:08:01.383 :: False 5
09:08:02.498 :: False 5
09:08:03.658 :: False 5
09:08:04.718 :: False 5
09:08:05.833 :: False 5
09:08:06.953 :: False 5
09:08:08.098 :: False 5
09:08:09.158 :: False 5
09:08:10.239 :: False 5
09:08:11.349 :: False 5
09:08:12.544 :: False 5
09:08:13.624 :: False 5
09:08:14.704 :: False 5
09:08:15.789 :: False 5
09:08:16.934 :: False 5
09:08:18.039 :: False 5
09:08:19.149 :: False 5
09:08:20.206 :: False 5
09:08:21.376 :: False 5
09:08:22.451 :: False 5
09:08:23.551 :: False 5
09:08:24.676 :: False 5
09:08:25.801 :: False 5
09:08:26.846 :: False 5
09:08:27.999 :: False 5
09:08:29.094 :: False 5
09:08:30.244 :: False 5
09:08:31.319 :: False 5
09:08:32.468 :: False 5
09:08:33.553 :: False 5
09:08:34.658 :: False 5
09:08:35.743 :: False 5
09:08:36.853 :: False 5
09:08:37.990 :: False 5
09:08:39.052 :: False 5
09:08:40.182 :: False 5
09:08:41.273 :: False 5
09:08:42.360 :: False 5
09:08:43.495 :: False 5
09:08:44.662 :: False 5
09:08:45.742 :: False 5
09:08:46.798 :: False 5
09:08:47.973 :: False 5
09:08:49.078 :: False 5
09:08:50.128 :: False 5
09:08:51.253 :: False 5
09:08:52.373 :: False 5
09:08:53.468 :: False 5
09:08:54.543 :: False 5
09:08:55.688 :: False 5
09:08:56.788 :: False 5
09:08:57.927 :: False 5
09:08:57.932 :: [매수] :: 대림B&Co 가격:13550
09:08:57.934 :: False 5
09:08:59.010 :: False 6
09:08:59.010 :: False 6
09:09:00.105 :: False 6
09:09:00.105 :: False 6
09:09:01.220 :: False 6
09:09:01.225 :: False 6
09:09:02.367 :: False 6
09:09:02.372 :: False 6
09:09:03.462 :: False 6
09:09:03.462 :: False 6
09:09:04.522 :: False 6
09:09:04.527 :: False 6
09:09:05.607 :: False 6
09:09:05.612 :: False 6
09:09:06.827 :: False 6
09:09:06.832 :: False 6
09:09:07.897 :: False 6
09:09:07.902 :: False 6
09:09:08.967 :: False 6
09:09:08.972 :: False 6
09:09:10.077 :: False 6
09:09:10.077 :: False 6
09:09:11.182 :: False 6
09:09:11.182 :: False 6
09:09:11.637 :: [매도] 절반 :: 1.52 :: 마이크로컨텍솔 가격:14500
09:09:12.312 :: False 6
09:09:12.317 :: False 6
09:09:13.397 :: False 6
09:09:13.402 :: False 6
09:09:14.482 :: False 6
09:09:14.482 :: False 6
09:09:15.622 :: False 6
09:09:15.622 :: False 6
09:09:16.727 :: False 6
09:09:16.732 :: False 6
09:09:17.842 :: False 6
09:09:18.957 :: False 6
09:09:18.962 :: False 6
09:09:20.042 :: False 6
09:09:20.042 :: False 6
09:09:21.179 :: False 6
09:09:22.269 :: False 6
09:09:23.404 :: False 6
09:09:23.404 :: False 6
09:09:24.469 :: False 6
09:09:24.469 :: False 6
09:09:25.589 :: False 6
09:09:26.704 :: False 6
09:09:26.709 :: False 6
09:09:27.819 :: False 6
09:09:27.824 :: False 6
09:09:28.902 :: False 6
09:09:28.902 :: False 6
09:09:30.012 :: False 6
09:09:30.012 :: False 6
09:09:31.117 :: False 6
09:09:32.242 :: False 6
09:09:33.342 :: False 6
09:09:34.477 :: False 6
09:09:35.517 :: False 6
09:09:36.652 :: False 6
09:09:37.782 :: False 6
09:09:38.887 :: False 6
09:09:40.007 :: False 6
09:09:41.102 :: False 6
09:09:42.194 :: False 6
09:09:43.318 :: False 6
09:09:44.408 :: False 6
09:09:45.518 :: False 6
09:09:46.593 :: False 6
09:09:47.705 :: False 6
09:09:48.830 :: False 6
09:09:49.942 :: False 6
09:09:51.062 :: False 6
09:09:52.162 :: False 6
09:09:53.292 :: False 6
09:09:54.387 :: False 6
09:09:55.532 :: False 6
09:09:56.642 :: False 6
09:09:57.722 :: False 6
09:09:58.792 :: False 6
09:09:59.947 :: False 6
09:10:01.082 :: False 6
09:10:02.142 :: False 6
09:10:03.237 :: False 6
09:10:04.367 :: False 6
09:10:05.487 :: False 6
09:10:06.562 :: False 6
09:10:07.667 :: False 6
09:10:08.781 :: False 6
09:10:09.171 :: CSPAQ02200 ::   -21 :: TR의 시간당 전송제한에 걸렸습니다.
09:10:09.904 :: False 6
09:10:10.996 :: False 6
09:10:12.135 :: False 6
09:10:13.207 :: False 6
09:10:14.315 :: False 6
09:10:15.407 :: False 6
09:10:15.422 :: False 6
09:10:16.556 :: False 6
09:10:16.556 :: False 6
09:10:17.695 :: False 6
09:10:17.695 :: False 6
09:10:18.751 :: False 6
09:10:18.751 :: False 6
09:10:19.843 :: False 6
09:10:19.843 :: False 6
09:10:20.976 :: False 6
09:10:20.992 :: False 6
09:10:22.115 :: False 6
09:10:22.115 :: False 6
09:10:23.192 :: False 6
09:10:23.192 :: False 6
09:10:24.299 :: False 6
09:10:24.299 :: False 6
09:10:25.391 :: False 6
09:10:25.391 :: False 6
09:10:26.514 :: False 6
09:10:26.514 :: False 6
09:10:27.607 :: False 6
