08:48:45.332 :: ##### 프로그램 시작 #####
08:48:45.776 :: JIF :: 11-장전 동시호가 개시
08:48:46.066 :: 자동 로그인 시작
08:48:48.694 :: 로그인 시도..!!
08:48:49.169 :: 0000 :: 로그인 성공
08:48:49.389 :: t8430 :: 종목 기본 정보 저장 완료..!!
08:48:49.391 :: t8430 :: 시간 검색 타이머 구동
09:16:35.395 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:36.467 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:37.647 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:38.704 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:39.801 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:40.914 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:42.061 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:43.173 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:44.237 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:45.393 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:46.517 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:47.591 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:48.635 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:49.782 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:50.906 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:52.033 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:53.139 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:54.193 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:55.280 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:56.421 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:57.542 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:58.622 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:59.764 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:00.966 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:02.017 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:03.107 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:04.233 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:05.314 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:06.364 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:07.528 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:08.661 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:09.729 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:10.841 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:11.950 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:13.074 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:14.148 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:15.223 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:16.401 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:17.475 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:18.592 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:19.679 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:20.812 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:21.906 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:23.078 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:24.163 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:25.310 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:26.383 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:27.410 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:28.585 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:29.682 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:30.786 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:31.868 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:32.984 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:34.063 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:35.216 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:36.324 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:37.422 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:38.571 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:39.671 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:40.735 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:41.837 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:42.980 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:44.042 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:45.136 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:46.300 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:47.348 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:48.445 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:49.605 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:50.699 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:17:51.858 :: 당일 재매수 여부:False 당일 매수된 종목수:6
