08:50:15.272 :: ##### 프로그램 시작 #####
08:50:16.277 :: JIF :: 25-장 개시 10분 전
08:52:30.924 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:30.926 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:30.928 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:33.932 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:33.933 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:33.934 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:33.935 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:36.984 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:36.986 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:36.988 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:36.990 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:40.001 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:40.003 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:40.006 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:40.008 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:43.042 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:43.044 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:43.045 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:43.047 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:46.092 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:46.094 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:46.097 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:46.099 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:49.130 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:49.132 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:49.133 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:49.133 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:52.197 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:52.198 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:52.199 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:52.201 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:55.263 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:55.265 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:55.267 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:55.269 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:58.316 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:58.318 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:58.321 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:52:58.323 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:01.303 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:01.306 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:01.308 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:01.310 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:04.349 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:04.350 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:04.352 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:04.353 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:07.391 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:07.394 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:07.396 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:07.398 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:10.434 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:10.436 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:10.438 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:10.439 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:13.489 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:13.491 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:13.492 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:13.493 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:16.538 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:16.539 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:16.540 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:16.542 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:19.557 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:19.558 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:19.558 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:19.559 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:22.646 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:22.648 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:22.651 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:22.652 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:25.675 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:25.676 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:25.677 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:25.678 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:28.746 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:28.749 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:28.751 :: 당일 재매수 여부:False 당일 매수된 종목수:4
08:53:28.752 :: 당일 재매수 여부:False 당일 매수된 종목수:4
